GrLivArea,GarageArea,OverallQual,TotalBsmtSF,YearBuilt
1550,438,7,1092,2006
2230,440,4,795,1912
1639,240,6,1064,1936
864,624,5,864,1958
1621,440,7,1208,1984
987,264,6,483,1972
2519,628,7,1210,1989
1365,440,5,765,1970
2290,779,8,1128,2002
2596,840,9,1249,2006
907,352,4,907,1957
1456,440,6,855,1976
1190,540,5,1106,1962
858,684,4,858,1971
2223,516,7,2223,1973
1005,672,4,1005,1955
1895,409,7,712,1994
1040,384,5,1040,1965
1264,461,5,1268,1960
1761,578,7,874,2007
1034,888,6,1012,1976
1363,439,7,1385,1954
1689,480,6,1436,1956
2113,839,8,2109,1995
1573,544,7,1573,2002
2364,820,9,2330,2009
2034,645,7,1057,1997
1291,431,6,1291,1996
858,0,5,858,1958
1258,280,6,560,1939
438,246,2,290,1920
1400,440,6,672,1978
954,240,5,920,1938
1445,645,6,1127,1964
1072,525,6,547,2005
1664,0,5,0,1965
2134,441,6,844,1916
3194,380,8,965,1934
1824,0,6,912,1971
1756,422,6,872,1996
912,576,5,912,1965
1509,600,6,1461,1988
1608,216,6,976,1925
1316,397,6,1316,2005
1015,450,5,768,1925
1134,240,5,756,1940
1636,865,8,1623,2006
1320,400,7,660,2003
2126,538,5,1013,1967
1128,525,5,1120,1963
1306,756,5,992,1957
1344,0,4,546,1970
2554,704,7,718,1890
893,576,5,845,1949
1933,668,6,894,2007
1218,264,6,672,1973
1969,534,7,808,1977
2090,556,8,1220,1995
1484,487,5,1484,1971
1656,506,5,1656,1973
1224,210,6,818,1926
2054,390,6,992,2000
854,576,7,832,1929
1092,286,4,546,1973
1268,252,5,1268,1977
1661,550,7,799,1996
1668,502,8,1657,2003
1493,508,6,1478,1997
932,306,6,932,1950
1277,526,7,1277,1970
1530,630,7,1530,2004
1344,484,5,1024,1958
860,528,5,840,1982
1314,626,7,1314,2007
1962,868,7,1391,2006
1490,388,7,788,2004
848,420,6,848,2004
672,240,5,672,1940
2340,252,7,1152,1941
1656,180,5,660,1916
1479,484,7,725,1972
1226,740,7,1226,2009
2087,444,6,832,1966
1158,576,6,1158,2004
1154,480,5,1154,1966
1724,527,7,880,1998
1658,431,6,773,1995
1126,520,4,0,1949
1393,300,5,816,1955
3447,1014,8,728,1935
987,264,6,483,1973
1355,0,5,644,1940
2069,505,7,585,1960
1501,440,7,744,1999
1976,908,8,1976,2006
1563,758,8,1563,2007
1111,288,7,572,1926
1502,270,7,776,1931
1733,452,3,0,1955
2728,706,9,1848,2005
1302,264,5,630,1972
1524,586,7,1332,1979
1588,680,4,0,1959
1125,430,5,1125,2006
1200,480,7,600,2005
1640,520,6,798,2004
2127,525,7,1223,1994
972,240,6,972,1948
2020,466,8,1128,1995
1144,596,5,1144,1956
1352,288,5,1062,1958
1316,484,5,926,1929
1924,592,8,1086,1998
1164,240,5,1164,1950
952,840,5,952,1951
2358,0,8,684,1872
1680,540,6,880,1988
1912,672,6,482,1905
1004,480,6,1004,1970
1230,305,4,747,1946
1167,495,5,915,1920
1301,440,5,1145,1924
1453,445,7,1453,1986
1601,670,8,1581,2001
1588,825,8,1588,2006
1095,264,6,588,1958
1050,368,5,1050,1961
960,432,4,960,1965
1456,280,5,810,1948
1489,462,6,1489,1968
1726,786,7,1726,2007
2082,484,7,1362,2003
1339,484,7,1309,1990
2450,1069,8,1284,1998
1863,660,7,879,2006
768,396,5,768,1972
334,0,1,0,1946
1136,384,6,1136,1965
1337,405,6,1237,1998
912,288,5,912,1964
1812,264,5,864,1962
2192,240,5,720,1939
1184,0,5,658,1910
1889,308,7,925,1910
1327,624,5,1063,1959
1422,576,6,1422,1981
1632,576,5,1632,1967
1630,451,7,1630,2000
1526,0,3,1013,1915
1040,420,4,0,1949
1647,216,6,806,1915
1981,576,4,1122,1928
1644,418,6,1416,1953
2574,868,8,1482,2007
1824,520,6,764,1919
1350,520,6,1248,1964
958,440,6,958,1976
1848,370,6,833,1923
1620,490,4,1281,1976
1167,400,6,1158,1992
1487,220,6,735,1945
892,288,5,892,1967
804,240,5,788,1940
1140,0,5,1140,2006
1796,483,6,780,1963
2030,551,6,848,1976
2007,812,10,1017,2008
691,216,5,691,1920
1590,676,8,768,2008
1855,325,6,994,1954
1804,442,7,994,1999
1768,543,7,884,2003
3627,807,10,1930,1995
1298,403,6,1298,1985
1801,484,7,1501,1959
630,0,5,630,1970
1103,440,6,1103,1925
1178,384,4,859,1900
1196,440,4,1196,1916
1372,529,7,1372,2007
1431,296,6,1099,1962
1422,626,7,1422,2004
1953,501,6,1580,1992
1121,440,4,1121,2003
2473,852,8,1143,2004
1057,576,5,1057,1962
1110,602,5,1097,1978
2270,671,8,1152,1999
2018,746,9,2002,2008
1386,440,6,672,1978
1953,1043,8,1082,2005
1337,462,8,1337,1993
2285,648,8,969,2000
1718,826,8,1705,2007
1086,484,5,1024,1966
1555,660,7,1373,2007
1902,567,7,1902,1959
2514,693,7,1216,1990
1224,528,5,1086,1979
1054,460,6,1054,1969
2612,676,8,1225,1998
902,288,5,876,1967
2353,484,7,845,1980
1392,299,6,689,1977
1155,576,5,1109,1961
1904,240,5,1208,1950
1158,208,6,862,1929
1362,502,6,611,1920
2291,429,7,975,1999
1317,250,4,649,1920
1734,928,8,1734,2007
1194,312,6,1194,1959
1416,720,5,876,1915
1383,354,5,1383,1954
2002,871,5,1001,1949
1496,474,8,1496,2007
1604,660,5,984,1941
764,504,5,680,1925
1732,476,6,741,1985
1494,840,7,1494,2006
986,180,6,960,1926
1145,397,7,1145,2005
1484,0,6,742,1914
1344,525,6,819,1958
1539,686,5,650,1904
2504,656,9,1122,2005
747,528,4,600,1926
2097,583,7,1108,1998
4676,884,10,3138,2007
1176,624,6,698,1937
720,0,4,720,1920
1580,830,8,1580,2007
1440,0,4,1440,1977
1476,540,6,738,2005
1500,570,7,1500,2004
1348,216,5,884,1925
1200,884,5,864,1965
1394,514,6,1394,1963
1632,484,6,800,1966
912,336,5,912,1967
2624,864,6,1370,1918
1696,349,5,1140,1962
1230,440,5,440,1910
2727,440,8,853,1932
1456,429,6,728,2006
864,660,4,864,1970
1709,380,6,970,2004
1665,528,8,810,2001
2646,656,7,1347,1993
1640,595,7,798,2003
1699,420,3,978,1900
1663,529,4,1364,1954
1728,504,5,1728,1963
1845,462,6,1055,1992
1851,440,6,822,1964
1489,776,8,1489,2006
864,300,6,864,1959
1256,276,5,1256,1965
816,816,5,816,1982
1820,492,7,864,1965
2127,833,7,1104,1991
1065,461,5,1065,1960
1200,312,6,1200,1923
1208,632,7,1187,2006
2482,642,8,1094,2005
1720,527,7,1720,1996
840,0,5,672,1930
1294,496,6,1278,1991
1090,450,5,1090,2005
2263,420,8,1141,1998
969,440,5,969,1975
894,1248,3,894,1935
1028,360,5,1008,1927
1958,492,6,979,1946
1795,895,8,1795,2006
1940,606,9,1930,2009
1178,439,5,1176,1973
1482,400,6,672,1925
1428,554,7,1417,2008
864,338,5,864,1972
1111,200,5,616,1941
1470,420,6,680,1993
1116,440,6,1116,1962
864,288,6,864,1959
1297,498,5,1297,1954
1113,264,5,1113,1950
1501,577,7,1490,1999
1547,614,7,756,2009
1947,678,7,991,2004
1717,908,8,1709,2006
1052,440,6,1010,1971
2013,455,7,1117,1996
1266,388,7,1266,2007
2868,716,9,1992,2005
2256,554,7,952,2000
1414,494,7,1414,2004
1721,471,6,928,1994
1552,434,6,713,1975
1128,528,4,698,1920
1118,358,6,1096,1977
1728,574,6,1728,1976
2448,711,8,1629,1994
1473,452,5,1437,1968
1717,400,7,1156,1990
1166,400,7,856,2005
1370,484,8,1370,2006
1724,480,6,1680,1967
1709,380,7,970,2004
987,264,6,483,1971
1802,216,7,793,1920
2345,360,6,952,1932
1068,264,6,1059,1963
1617,533,6,1604,1993
1244,336,6,1244,1957
1180,252,4,700,1922
1223,480,7,600,2005
1686,612,6,1686,1980
1646,800,8,1638,2007
1144,264,5,864,1961
1797,639,7,939,2006
1224,462,4,0,1962
1865,839,7,992,2000
1056,308,5,1056,1958
3140,820,9,1926,2008
1212,492,6,506,1977
1694,636,8,1686,2004
1511,413,6,802,1997
1057,246,5,1057,1953
2290,560,4,777,1885
2183,786,7,1204,1988
3222,594,7,1673,1990
1716,512,7,880,1996
1342,457,6,1372,1967
1504,437,7,1346,2005
1992,648,8,1053,2003
1252,462,7,600,1999
999,264,5,999,1962
1363,528,4,622,1910
1165,490,6,1127,1966
1668,702,9,1626,2002
2376,853,8,1158,2005
1440,352,5,540,1900
1470,388,6,794,1997
1541,532,7,1541,2005
1440,0,4,1440,1955
1146,438,7,868,2003
1494,481,8,1494,1995
2224,738,9,1462,2004
1343,186,5,731,1921
2452,683,8,1028,1998
1977,540,6,816,1964
1767,504,7,1064,1987
1324,550,8,1324,2006
1458,330,6,912,1948
1314,440,6,1314,2006
1575,529,6,1575,1992
1620,912,9,1620,2007
1788,304,4,1104,1957
913,240,6,814,1966
2073,500,6,1542,1978
1441,492,8,776,1999
1690,225,7,815,1916
1437,576,5,1188,1956
2156,508,7,1568,1968
864,0,5,864,1925
1112,336,5,536,1976
2243,746,7,700,1990
1328,210,4,686,1925
968,216,4,656,1927
1396,384,6,698,1915
1856,834,9,1856,2010
2161,789,8,1582,2007
1602,529,6,1602,1977
1302,280,5,630,1971
1509,393,6,783,2002
912,352,5,912,1962
1664,420,6,1004,1947
1694,576,6,1181,1925
747,220,4,747,1945
1040,420,4,0,1950
1660,493,7,831,2002
1691,308,5,1026,1924
864,720,5,864,1950
752,264,6,744,1984
1792,564,7,963,2001
1626,474,7,764,2003
1484,472,8,1476,2006
3493,870,7,1470,1880
1652,840,9,1652,2006
1276,350,5,1276,1958
1668,271,6,856,1950
1192,0,4,720,1949
884,504,5,840,1983
2062,454,7,1157,1988
827,392,5,0,1955
2019,532,7,728,1910
1304,336,5,264,1976
1368,216,6,684,1910
1605,379,3,840,1915
2020,900,10,2006,2009
1250,528,7,625,2006
1624,757,8,1624,1994
845,360,4,845,1982
1389,418,5,1389,1974
968,480,5,968,1923
1092,286,4,546,1970
848,420,6,848,2003
1269,308,5,1269,1960
1092,288,5,1092,1962
2263,539,7,795,1977
952,283,4,952,1956
1452,0,4,736,1920
1039,504,5,1039,1965
1204,412,6,1204,1998
1117,672,6,1029,1976
2196,701,7,2158,1990
985,328,5,985,1977
1629,880,8,3206,2003
1477,216,7,861,1928
980,484,5,980,1977
2295,590,7,1095,1992
1502,180,6,602,1923
2201,432,6,697,1966
2078,836,8,1034,2007
800,0,2,264,1936
1578,840,8,1573,2008
1932,774,8,1932,2008
1507,404,5,1075,1960
900,280,5,882,1967
1718,786,10,1700,2006
1750,240,5,636,1880
2398,834,7,1379,1996
1968,680,8,774,2009
1536,532,7,1536,2002
864,200,3,864,1914
3228,546,8,3200,1992
2149,670,7,1434,2003
2640,864,7,1240,1880
1682,530,7,1304,1970
2098,878,8,1030,2005
864,360,5,864,1965
1968,530,5,784,1969
1097,480,6,1040,1984
1196,528,6,684,1920
1920,451,5,1052,1958
1728,576,5,1728,1965
2031,577,8,1128,2002
1196,297,6,1196,1956
803,360,5,720,1941
1620,462,5,780,1969
2097,1134,8,2077,2005
1869,617,9,1869,2007
1886,431,7,930,1998
480,308,2,480,1949
1296,516,4,0,1967
816,288,4,816,1938
1601,478,7,1271,1978
1792,451,6,936,2000
2520,796,8,1338,1993
1144,796,5,1144,1959
2601,621,5,612,1921
1577,312,6,972,1939
970,624,5,970,1963
2036,513,7,2136,1965
1026,440,6,1026,1969
698,0,5,698,1947
1533,576,7,1533,1975
1382,660,5,720,1941
1391,530,7,1391,2004
1078,240,5,1078,1950
1296,471,8,1267,2001
1442,301,6,1442,1958
1964,0,5,940,1911
1502,644,7,1502,2009
1392,458,6,1392,1957
1768,0,4,1768,1968
1582,390,5,1624,1964
958,301,6,958,1960
894,600,5,894,1972
1224,402,6,1224,1999
2332,846,10,1682,2007
1269,430,8,1256,2004
1776,712,8,1732,2006
1456,390,6,728,2005
1194,539,6,655,1959
1008,240,5,1008,1953
1555,430,7,1373,2005
1784,180,5,747,1914
1108,280,7,637,1930
1394,400,5,384,2006
1714,496,7,980,1988
882,294,5,0,1959
1306,0,3,728,1940
1217,288,6,626,1980
990,299,5,990,1994
2452,691,8,1117,2004
848,420,6,848,2003
1369,300,6,672,1925
1218,676,6,1218,2009
2555,672,6,588,1922
1247,550,8,1247,2005
2872,619,6,1330,1977
1652,482,8,1600,2008
1844,546,6,1844,1977
1971,689,7,1113,2005
1800,463,6,982,2000
1949,574,7,1050,1993
630,0,4,630,1972
1494,530,7,1494,2002
968,0,3,600,1910
1274,508,7,1274,2005
1520,364,6,1156,1955
1285,528,6,660,1977
1509,393,7,783,2003
1935,550,7,793,1976
816,0,6,816,1990
1200,555,7,1176,2003
1470,548,4,941,1954
1656,528,6,1080,1960
792,240,5,768,1924
1694,818,8,1694,2007
1800,765,8,1800,2002
2337,560,5,662,1900
1846,315,6,1040,1949
1026,576,6,940,1978
904,408,5,876,1966
1126,484,5,1126,1977
2468,872,8,1136,2004
988,540,6,938,1969
1052,288,5,1052,1968
1096,0,6,572,1924
1141,484,6,1141,2005
1790,484,6,732,1972
1852,660,8,1004,1999
754,0,6,520,1935
1344,513,5,624,1916
2207,576,7,1947,1970
2358,360,6,907,1908
2715,831,8,1142,1976
1364,484,7,1364,2005
1253,402,7,1237,1995
1328,528,6,1328,1963
1422,286,5,978,1960
1986,486,7,768,1965
952,192,6,952,1916
1660,500,8,1660,2006
2234,1166,9,2216,2008
790,160,6,768,1930
1340,396,7,1340,2007
1610,480,6,1610,1977
2620,600,5,1361,1977
1248,438,7,1248,2005
912,288,6,912,1961
1638,472,6,943,1998
1622,1356,4,1249,1961
2320,180,6,1028,1945
1144,456,5,1144,1961
1520,281,5,793,1932
1516,472,6,1516,1964
1498,675,7,1498,2006
1961,560,6,804,2001
1456,440,7,728,2006
2403,349,7,1032,1940
1944,708,9,1896,2003
1368,474,7,1368,2005
1790,588,7,873,1999
2713,858,9,1452,2008
1271,312,5,720,1948
1872,604,7,1845,1988
2090,577,7,1190,1984
1796,546,6,794,1998
1302,436,7,1302,2007
2524,542,8,2524,1981
1374,338,4,840,1920
1626,474,7,764,2003
1034,240,5,735,1940
1518,588,8,1518,2003
1818,240,7,1040,1931
1661,598,7,1649,1998
1991,432,6,854,1932
1482,324,7,650,1920
1742,564,8,1742,1985
1250,280,5,686,1918
1176,528,6,816,1934
1915,506,8,908,1992
1595,240,6,940,1940
1661,377,6,992,1955
1935,552,8,832,2009
1795,534,8,1777,2002
1928,434,7,847,2003
1159,336,5,1051,1968
1456,440,6,855,1978
1954,431,7,798,1939
2028,880,8,1868,2005
2898,665,8,1565,1976
1674,663,7,814,2000
974,0,5,974,1991
1989,586,8,1065,2002
2097,678,7,1080,1993
1442,500,7,1424,1990
1130,720,5,1120,1920
1820,240,7,1026,1925
2119,583,6,689,1972
2576,666,8,1234,2006
1020,0,5,780,1875
1774,779,4,1095,1900
904,0,1,683,1922
1382,490,7,673,2000
3608,840,10,1107,1892
2210,205,6,1008,1880
1572,373,6,806,1995
1824,739,7,1643,1971
1056,304,5,1056,1968
1221,392,5,784,1924
1362,504,6,1362,1961
848,420,6,848,2004
1434,527,7,1454,2001
1208,628,7,1208,2007
1466,566,5,796,1936
1987,691,8,1986,1994
2418,983,7,1311,1993
1314,626,7,1314,2007
1709,380,7,970,2004
1218,0,6,672,1971
3395,0,6,1440,1914
1200,0,5,1200,1987
912,297,5,912,1958
4316,832,10,2444,1994
1710,548,7,856,2003
2374,656,8,1181,2003
1564,234,7,704,1941
1466,528,5,1466,1959
1383,292,6,1383,1960
1535,410,5,0,1979
990,576,5,990,1995
1646,240,7,918,1941
1928,440,6,1020,1910
1725,550,7,539,1979
2872,541,8,1683,1992
2112,576,6,952,1969
1324,240,4,672,1936
1200,480,7,600,2005
1344,468,5,672,1920
1668,500,7,840,2003
1040,400,3,0,1950
900,576,5,900,1951
1559,812,5,1559,1948
948,248,4,864,1954
923,264,6,923,1980
1552,782,7,1552,2005
1717,642,7,756,1915
1721,440,5,1461,1968
987,264,6,483,1973
1200,521,6,1200,1995
1716,281,5,768,1949
894,336,5,894,1965
1771,336,5,0,1960
1173,528,7,1053,1974
1287,576,5,1063,1959
1382,459,4,1051,1963
2520,721,7,1203,1995
1215,297,6,1215,1958
2526,844,8,1165,1994
1200,480,7,600,2004
1728,560,5,1728,1976
1710,480,7,576,1921
2392,870,8,1396,1997
1744,457,7,996,1993
1665,562,7,813,2007
2696,792,7,1264,2007
864,528,4,864,1971
672,234,4,672,1941
1320,564,5,1164,1966
958,440,6,1078,1976
1710,550,7,1710,2004
1265,502,5,1219,1965
1456,400,8,1273,2003
1539,576,5,927,1936
1959,766,7,1907,1988
1522,0,5,1008,1926
1124,0,5,0,1954
2090,484,7,1107,1973
1214,461,5,1214,1965
1779,454,5,1763,1955
1629,808,8,1616,2002
1554,627,8,1554,2006
2236,642,7,964,1997
796,0,4,796,1922
1680,308,6,840,1915
848,420,6,848,2003
1142,528,5,1142,1976
1252,564,6,1602,1960
1684,564,9,1684,2005
2000,888,8,2000,2004
1616,834,7,1616,2005
1872,531,8,1299,2001
1576,225,5,1042,1928
1982,575,7,807,1989
988,276,5,876,1950
1844,620,8,1844,2005
1258,528,6,1258,1971
1288,500,8,1260,1996
1634,866,8,1626,2006
1322,440,6,855,1974
1414,403,8,707,2004
1504,478,7,1504,1996
1670,690,7,1670,2006
2167,518,7,1192,1974
1069,440,6,1069,1977
1072,525,6,547,2005
1572,995,5,1572,1963
1869,456,5,1088,1890
882,0,4,882,1956
1922,676,9,1922,2005
780,352,5,780,1972
1601,300,5,533,1958
1530,430,7,1530,2005
833,0,5,833,1985
1183,308,3,649,1948
1040,260,5,1040,1962
2828,1052,8,1466,2006
1252,288,6,1032,1950
1246,305,5,1246,1959
904,180,6,884,1926
1652,416,5,686,1915
1268,288,5,832,1949
1913,342,6,896,1928
1358,484,7,1358,2009
1657,484,6,1657,1970
838,275,6,816,1918
2060,390,7,992,1999
1626,474,7,764,2003
1352,299,6,663,1969
1376,240,5,768,1941
1660,240,6,715,1934
1412,432,6,616,2006
1469,216,6,756,1906
1430,400,7,384,2000
1094,495,6,1094,1953
1826,758,8,1814,2005
924,576,5,672,1949
1502,528,8,1488,1985
1688,603,6,616,1997
1262,572,6,1262,2006
1905,788,9,1905,2006
2031,541,7,1153,1998
1350,478,6,1064,1974
1829,613,7,941,2003
965,300,5,828,1965
924,280,4,672,1941
2263,905,8,1055,2001
2108,540,6,1127,1935
1242,528,7,1242,1973
1573,240,4,884,1935
2035,434,7,884,2001
1232,516,6,1232,1984
1964,483,7,803,1976
1140,0,4,576,1910
894,450,5,894,1967
2654,619,6,1054,1968
768,396,5,768,1972
912,0,4,0,1947
2080,504,5,1040,1969
1040,576,5,1040,1996
1616,216,6,1149,1926
1047,273,4,641,1885
1803,484,5,1134,1957
832,528,6,832,1954
894,384,5,894,1966
1192,189,5,596,1920
1850,772,9,1833,2004
899,288,5,864,1967
892,264,5,864,1966
2291,506,6,1214,1910
2138,360,5,849,1898
1604,470,6,926,1997
2021,422,7,868,2006
938,308,5,938,1975
1426,216,7,912,1918
1920,400,5,928,1948
1098,260,5,1098,1955
729,0,3,270,1935
1252,528,6,1252,1959
1584,792,5,1584,1967
1506,592,9,1498,2008
1709,506,9,1698,1999
1092,299,5,1092,1957
1746,758,9,1746,2006
2287,667,7,1304,1953
789,200,5,768,1926
1041,270,5,1041,1959
1908,431,8,967,2002
2267,390,6,1010,2002
875,180,5,715,1931
1526,364,5,1216,1957
1567,714,6,1567,1977
2822,1020,9,1734,2008
1378,360,7,689,1928
1738,368,4,715,1920
2060,521,6,1151,1988
1128,286,5,936,1954
1720,440,7,840,2004
1050,338,5,1050,1956
1114,576,6,1114,2003
1053,750,5,1008,1958
1593,682,8,1593,2001
1214,318,5,1214,1967
816,264,5,816,1982
1535,400,5,0,1979
3112,795,8,1360,1918
1919,685,8,1079,2006
1097,672,5,1097,1994
1750,423,6,983,1940
987,288,6,483,1972
981,576,6,981,1971
1700,447,5,1398,1959
816,308,5,816,1957
1840,622,7,944,2001
2521,576,6,942,1973
1002,902,5,1002,1970
841,294,4,721,1950
996,564,6,936,1992
1713,856,8,1713,2004
1412,576,6,1392,1988
1236,923,6,912,1957
1040,648,4,1064,1963
1616,608,8,1595,1995
1414,601,6,1184,1958
1950,576,7,975,1997
1086,490,5,1086,1954
1576,528,5,1324,1923
768,624,5,768,1970
1381,676,6,1161,1972
2169,647,8,1284,2002
720,287,3,0,1949
2792,520,6,1510,1920
936,576,4,936,1953
1181,588,4,1138,1972
1689,954,7,1689,2007
948,280,4,948,1954
1512,440,6,756,2000
894,450,5,894,1968
1852,644,7,900,2009
845,290,4,0,1957
774,0,3,544,1931
3238,666,8,2033,1995
1232,632,7,1232,2007
1164,528,7,1164,1969
1248,160,5,912,1930
1687,572,5,747,1948
1960,440,6,860,2002
1092,286,4,546,1970
894,400,4,894,1954
1479,558,7,1453,2003
1060,270,5,1060,1968
1436,484,7,1436,2004
1044,504,5,540,1952
1768,320,7,880,1914
816,432,6,816,1930
1430,400,7,384,2000
1867,303,5,1617,1955
1500,648,7,1356,2006
1100,312,4,1100,1960
816,264,5,816,1982
1328,308,5,1350,1959
2296,842,10,1722,2008
864,572,5,864,1955
1266,453,7,1257,2005
858,0,4,858,1971
1710,506,6,832,1993
1123,264,4,732,1939
1647,460,6,953,1999
874,288,5,864,1968
1788,522,8,1753,2001
1839,416,6,1477,1957
1868,484,5,780,1976
1712,588,5,1626,1959
1229,462,6,561,1980
1600,890,8,1566,2007
1600,460,6,916,1997
1344,240,5,896,1936
1126,540,5,1126,1977
923,264,5,876,1984
616,205,5,616,1921
1800,0,5,1800,1961
1505,505,6,1505,1953
1647,621,5,1430,1977
1132,451,4,1132,2005
1764,470,6,928,1997
1529,240,4,0,1945
2447,336,6,804,1919
1504,457,7,1346,2005
1163,220,3,1162,1955
1525,440,6,756,2000
935,288,5,935,1965
813,270,6,813,1930
2008,230,5,896,1948
2329,514,7,1475,1990
1558,282,5,910,1950
1664,528,7,832,1976
2110,522,7,2110,1968
1786,684,6,824,1997
1475,336,5,757,1977
1387,256,5,811,1954
1708,380,7,976,2004
1734,440,6,912,1962
2414,520,5,954,1900
1908,493,7,915,1994
1283,506,5,931,1962
1212,573,7,1212,2001
1548,672,7,952,1925
980,384,5,980,1967
1811,470,6,1073,1956
1056,384,4,1056,1966
1234,484,8,1234,2007
1302,440,5,630,1970
1406,0,6,319,1920
858,576,5,858,1982
2324,736,9,1175,2005
910,414,5,105,1953
1611,442,6,780,1964
1560,400,6,684,2005
2020,630,5,0,1977
1338,582,8,1338,2001
1188,312,5,1188,1962
1459,527,7,1459,2002
2260,533,7,1306,1996
1430,605,7,1413,2001
996,0,5,996,1940
1092,504,6,1092,1964
1250,625,7,625,2006
1728,572,7,864,2004
924,280,5,924,1975
1199,530,6,1199,1993
948,300,5,948,1968
925,429,5,925,1965
835,366,5,458,1920
2466,610,8,1580,2004
2157,487,7,924,1966
1060,572,5,1040,1976
2633,804,10,2633,2001
1048,280,5,993,1922
1664,460,6,953,2000
784,360,6,784,1928
1279,473,6,1196,1977
1229,284,4,1134,1956
1268,244,5,1268,1954
1428,480,7,1428,2007
1125,352,6,1041,1976
1008,275,5,1008,1954
1630,860,8,1622,2008
1728,673,6,864,2003
1211,322,5,952,1968
1040,286,5,1040,1959
1707,511,8,1686,1981
1632,462,7,935,1998
1392,528,5,1392,1957
1319,270,5,608,1953
1484,390,6,742,2005
971,300,5,971,1969
1062,539,6,1029,1976
980,0,6,945,1975
1405,478,7,1405,2003
1671,472,6,959,2000
1074,495,5,1056,1975
2320,672,5,0,1948
918,264,6,918,1979
1437,528,5,1437,1976
1069,440,6,1069,1977
1556,441,6,727,1968
1894,510,7,817,2002
1973,895,8,1935,2006
2978,564,7,710,1967
848,420,6,848,2004
1474,400,7,384,1995
1056,260,5,1056,1954
902,484,5,864,1983
1032,564,6,1032,1978
1077,338,5,961,1920
1235,480,5,1235,1961
1442,719,7,910,1990
987,264,6,483,1971
1004,504,6,975,1977
1006,0,5,1006,1959
1716,0,5,780,1912
1720,565,7,860,2004
960,308,4,960,1920
1604,660,7,1604,2006
2217,621,8,2217,1970
1844,540,6,1844,1969
1571,380,6,799,1993
1479,577,7,1468,1999
1786,529,5,1499,1965
1632,338,6,1240,1958
1768,578,8,866,2007
1096,299,5,1096,1969
2093,542,7,791,1986
1348,453,6,660,1966
1456,410,7,728,2005
1600,319,5,1484,1957
1700,544,6,1682,2003
1593,389,6,808,1992
1363,288,5,1008,1951
1441,440,6,855,1978
1710,866,8,1710,2007
2110,463,7,948,1994
1479,475,6,725,1976
