GrLivArea,KitchenQual,OverallQual,TotalBsmtSF,YearBuilt
1365,TA,5,765,1970
2290,Gd,8,1128,2002
2596,Gd,9,1249,2006
907,TA,4,907,1957
1456,TA,6,855,1976
1190,TA,5,1106,1962
858,TA,4,858,1971
2223,TA,7,2223,1973
1005,Fa,4,1005,1955
1895,Gd,7,712,1994
1040,TA,5,1040,1965
1264,TA,5,1268,1960
1761,Gd,7,874,2007
1034,TA,6,1012,1976
1363,TA,7,1385,1954
1689,TA,6,1436,1956
2113,Gd,8,2109,1995
1573,Gd,7,1573,2002
2364,Ex,9,2330,2009
2034,Gd,7,1057,1997
1291,Gd,6,1291,1996
858,TA,5,858,1958
1258,TA,6,560,1939
438,Fa,2,290,1920
1400,TA,6,672,1978
954,Fa,5,920,1938
1445,TA,6,1127,1964
1072,TA,6,547,2005
1664,TA,5,0,1965
2134,Gd,6,844,1916
3194,TA,8,965,1934
1824,TA,6,912,1971
1756,TA,6,872,1996
912,Gd,5,912,1965
1509,Gd,6,1461,1988
1608,Gd,6,976,1925
1316,Gd,6,1316,2005
1015,TA,5,768,1925
1134,TA,5,756,1940
1636,Gd,8,1623,2006
1320,Gd,7,660,2003
2126,TA,5,1013,1967
1128,TA,5,1120,1963
1306,TA,5,992,1957
1344,TA,4,546,1970
2554,TA,7,718,1890
893,Gd,5,845,1949
1933,Gd,6,894,2007
1218,TA,6,672,1973
1969,TA,7,808,1977
2090,Gd,8,1220,1995
1484,TA,5,1484,1971
1656,TA,5,1656,1973
1224,TA,6,818,1926
2054,Gd,6,992,2000
854,TA,7,832,1929
1092,TA,4,546,1973
1268,Gd,5,1268,1977
1661,Gd,7,799,1996
1668,Gd,8,1657,2003
1493,Gd,6,1478,1997
932,Gd,6,932,1950
1277,TA,7,1277,1970
1530,Gd,7,1530,2004
1344,TA,5,1024,1958
860,TA,5,840,1982
1314,Gd,7,1314,2007
1962,Gd,7,1391,2006
1490,Gd,7,788,2004
848,Gd,6,848,2004
672,TA,5,672,1940
2340,Gd,7,1152,1941
1656,TA,5,660,1916
1479,Gd,7,725,1972
1226,Gd,7,1226,2009
2087,Gd,6,832,1966
1158,Gd,6,1158,2004
1154,TA,5,1154,1966
1724,Gd,7,880,1998
1658,TA,6,773,1995
1126,Gd,4,0,1949
1393,TA,5,816,1955
3447,Gd,8,728,1935
987,TA,6,483,1973
1355,TA,5,644,1940
2069,Gd,7,585,1960
1501,TA,7,744,1999
1976,Gd,8,1976,2006
1563,Gd,8,1563,2007
1111,TA,7,572,1926
1502,TA,7,776,1931
1733,TA,3,0,1955
2728,Ex,9,1848,2005
1302,TA,5,630,1972
1524,Gd,7,1332,1979
1588,TA,4,0,1959
1125,TA,5,1125,2006
1200,Gd,7,600,2005
1640,Gd,6,798,2004
2127,Gd,7,1223,1994
972,TA,6,972,1948
2020,Gd,8,1128,1995
1144,TA,5,1144,1956
1352,Gd,5,1062,1958
1316,TA,5,926,1929
1924,Gd,8,1086,1998
1164,TA,5,1164,1950
952,TA,5,952,1951
2358,TA,8,684,1872
1680,Gd,6,880,1988
1912,TA,6,482,1905
1004,TA,6,1004,1970
1230,TA,4,747,1946
1167,TA,5,915,1920
1301,Fa,5,1145,1924
1453,Gd,7,1453,1986
1601,Gd,8,1581,2001
1588,Gd,8,1588,2006
1095,TA,6,588,1958
1050,TA,5,1050,1961
960,TA,4,960,1965
1456,TA,5,810,1948
1489,Gd,6,1489,1968
1726,Ex,7,1726,2007
2082,Gd,7,1362,2003
1339,TA,7,1309,1990
2450,Gd,8,1284,1998
1863,Gd,7,879,2006
768,TA,5,768,1972
334,Fa,1,0,1946
1136,TA,6,1136,1965
1337,TA,6,1237,1998
912,TA,5,912,1964
1812,TA,5,864,1962
2192,Gd,5,720,1939
1184,TA,5,658,1910
1889,TA,7,925,1910
1327,Gd,5,1063,1959
1422,Gd,6,1422,1981
1632,TA,5,1632,1967
1630,Gd,7,1630,2000
1526,Fa,3,1013,1915
1040,TA,4,0,1949
1647,Fa,6,806,1915
1981,Gd,4,1122,1928
1644,TA,6,1416,1953
2574,Ex,8,1482,2007
1824,TA,6,764,1919
1350,TA,6,1248,1964
958,TA,6,958,1976
1848,Gd,6,833,1923
1620,TA,4,1281,1976
1167,Gd,6,1158,1992
1487,TA,6,735,1945
892,TA,5,892,1967
804,Gd,5,788,1940
1140,TA,5,1140,2006
1796,TA,6,780,1963
2030,Gd,6,848,1976
2007,Ex,10,1017,2008
691,Ex,5,691,1920
1590,Gd,8,768,2008
1855,TA,6,994,1954
1804,Gd,7,994,1999
1768,Gd,7,884,2003
3627,Gd,10,1930,1995
1298,Gd,6,1298,1985
1801,TA,7,1501,1959
630,Ex,5,630,1970
1103,Gd,6,1103,1925
1178,TA,4,859,1900
1196,TA,4,1196,1916
1372,Gd,7,1372,2007
1431,TA,6,1099,1962
1422,Gd,7,1422,2004
1953,Gd,6,1580,1992
1121,TA,4,1121,2003
2473,Gd,8,1143,2004
1057,TA,5,1057,1962
1110,Gd,5,1097,1978
2270,Gd,8,1152,1999
2018,Ex,9,2002,2008
1386,TA,6,672,1978
1953,Gd,8,1082,2005
1337,Gd,8,1337,1993
2285,Gd,8,969,2000
1718,Gd,8,1705,2007
1086,TA,5,1024,1966
1555,Gd,7,1373,2007
1902,Ex,7,1902,1959
2514,TA,7,1216,1990
1224,TA,5,1086,1979
1054,TA,6,1054,1969
2612,Gd,8,1225,1998
902,TA,5,876,1967
2353,Ex,7,845,1980
1392,TA,6,689,1977
1155,Gd,5,1109,1961
1904,TA,5,1208,1950
1158,TA,6,862,1929
1362,TA,6,611,1920
2291,Gd,7,975,1999
1317,TA,4,649,1920
1734,Ex,8,1734,2007
1194,TA,6,1194,1959
1416,TA,5,876,1915
1383,TA,5,1383,1954
2002,TA,5,1001,1949
1496,Gd,8,1496,2007
1604,TA,5,984,1941
764,TA,5,680,1925
1732,Gd,6,741,1985
1494,Gd,7,1494,2006
986,TA,6,960,1926
1145,Gd,7,1145,2005
1484,TA,6,742,1914
1344,Gd,6,819,1958
1539,Gd,5,650,1904
2504,Ex,9,1122,2005
747,TA,4,600,1926
2097,Gd,7,1108,1998
4676,Ex,10,3138,2007
1176,TA,6,698,1937
720,TA,4,720,1920
1580,Gd,8,1580,2007
1440,TA,4,1440,1977
1476,Gd,6,738,2005
1500,Gd,7,1500,2004
1348,TA,5,884,1925
1200,Gd,5,864,1965
1394,TA,6,1394,1963
1632,Gd,6,800,1966
912,TA,5,912,1967
2624,TA,6,1370,1918
1696,TA,5,1140,1962
1230,TA,5,440,1910
2727,Gd,8,853,1932
1456,TA,6,728,2006
864,Gd,4,864,1970
1709,Gd,6,970,2004
1665,Gd,8,810,2001
2646,Gd,7,1347,1993
1640,Gd,7,798,2003
1699,TA,3,978,1900
1663,Gd,4,1364,1954
1728,TA,5,1728,1963
1845,Gd,6,1055,1992
1851,Gd,6,822,1964
1489,Gd,8,1489,2006
864,TA,6,864,1959
1256,TA,5,1256,1965
816,TA,5,816,1982
1820,Gd,7,864,1965
2127,Gd,7,1104,1991
1065,TA,5,1065,1960
1200,TA,6,1200,1923
1208,Gd,7,1187,2006
2482,Gd,8,1094,2005
1720,Gd,7,1720,1996
840,TA,5,672,1930
1294,Gd,6,1278,1991
1090,TA,5,1090,2005
2263,Gd,8,1141,1998
969,TA,5,969,1975
894,TA,3,894,1935
1028,TA,5,1008,1927
1958,TA,6,979,1946
1795,Gd,8,1795,2006
1940,Ex,9,1930,2009
1178,Gd,5,1176,1973
1482,Fa,6,672,1925
1428,Ex,7,1417,2008
864,TA,5,864,1972
1111,TA,5,616,1941
1470,TA,6,680,1993
1116,TA,6,1116,1962
864,Gd,6,864,1959
1297,TA,5,1297,1954
1113,Gd,5,1113,1950
1501,Gd,7,1490,1999
1547,Gd,7,756,2009
1947,Gd,7,991,2004
1717,Gd,8,1709,2006
1052,TA,6,1010,1971
2013,TA,7,1117,1996
1266,Gd,7,1266,2007
2868,Ex,9,1992,2005
2256,Gd,7,952,2000
1414,Gd,7,1414,2004
1721,Gd,6,928,1994
1552,TA,6,713,1975
1128,TA,4,698,1920
1118,TA,6,1096,1977
1728,TA,6,1728,1976
2448,Gd,8,1629,1994
1473,Ex,5,1437,1968
1717,Gd,7,1156,1990
1166,Gd,7,856,2005
1370,Gd,8,1370,2006
1724,TA,6,1680,1967
1709,Gd,7,970,2004
987,TA,6,483,1971
1802,TA,7,793,1920
2345,TA,6,952,1932
1068,TA,6,1059,1963
1617,Gd,6,1604,1993
1244,TA,6,1244,1957
1180,Fa,4,700,1922
1223,Gd,7,600,2005
1686,TA,6,1686,1980
1646,Gd,8,1638,2007
1144,TA,5,864,1961
1797,Gd,7,939,2006
1224,TA,4,0,1962
1865,Gd,7,992,2000
1056,TA,5,1056,1958
3140,Ex,9,1926,2008
1212,TA,6,506,1977
1694,Gd,8,1686,2004
1511,TA,6,802,1997
1057,Gd,5,1057,1953
2290,TA,4,777,1885
2183,Gd,7,1204,1988
3222,Gd,7,1673,1990
1716,Gd,7,880,1996
1342,TA,6,1372,1967
1504,Gd,7,1346,2005
1992,Gd,8,1053,2003
1252,Gd,7,600,1999
999,Gd,5,999,1962
1363,TA,4,622,1910
1165,TA,6,1127,1966
1668,Gd,9,1626,2002
2376,Gd,8,1158,2005
1440,TA,5,540,1900
1470,TA,6,794,1997
1541,Gd,7,1541,2005
1440,Fa,4,1440,1955
1146,Gd,7,868,2003
1494,Ex,8,1494,1995
2224,Ex,9,1462,2004
1343,TA,5,731,1921
2452,Gd,8,1028,1998
1977,TA,6,816,1964
1767,Gd,7,1064,1987
1324,Gd,8,1324,2006
1458,TA,6,912,1948
1314,Gd,6,1314,2006
1575,Gd,6,1575,1992
1620,Ex,9,1620,2007
1788,TA,4,1104,1957
913,TA,6,814,1966
2073,TA,6,1542,1978
1441,Gd,8,776,1999
1690,TA,7,815,1916
1437,TA,5,1188,1956
2156,TA,7,1568,1968
864,TA,5,864,1925
1112,TA,5,536,1976
2243,Gd,7,700,1990
1328,TA,4,686,1925
968,TA,4,656,1927
1396,TA,6,698,1915
1856,Ex,9,1856,2010
2161,Ex,8,1582,2007
1602,Gd,6,1602,1977
1302,TA,5,630,1971
1509,Gd,6,783,2002
912,TA,5,912,1962
1664,TA,6,1004,1947
1694,TA,6,1181,1925
747,TA,4,747,1945
1040,TA,4,0,1950
1660,Gd,7,831,2002
1691,Gd,5,1026,1924
864,Gd,5,864,1950
752,TA,6,744,1984
1792,Gd,7,963,2001
1626,Gd,7,764,2003
1484,Ex,8,1476,2006
3493,Gd,7,1470,1880
1652,Ex,9,1652,2006
1276,TA,5,1276,1958
1668,TA,6,856,1950
1192,TA,4,720,1949
884,Gd,5,840,1983
2062,TA,7,1157,1988
827,TA,5,0,1955
2019,Gd,7,728,1910
1304,TA,5,264,1976
1368,TA,6,684,1910
1605,TA,3,840,1915
2020,Ex,10,2006,2009
1250,Gd,7,625,2006
1624,Gd,8,1624,1994
845,TA,4,845,1982
1389,TA,5,1389,1974
968,TA,5,968,1923
1092,TA,4,546,1970
848,Gd,6,848,2003
1269,TA,5,1269,1960
1092,TA,5,1092,1962
2263,Gd,7,795,1977
952,TA,4,952,1956
1452,TA,4,736,1920
1039,TA,5,1039,1965
1204,TA,6,1204,1998
1117,TA,6,1029,1976
2196,Gd,7,2158,1990
985,TA,5,985,1977
1629,Gd,8,3206,2003
1477,TA,7,861,1928
980,TA,5,980,1977
2295,Gd,7,1095,1992
1502,Gd,6,602,1923
2201,Gd,6,697,1966
2078,Ex,8,1034,2007
800,Fa,2,264,1936
1578,Ex,8,1573,2008
1932,Ex,8,1932,2008
1507,TA,5,1075,1960
900,TA,5,882,1967
1718,Ex,10,1700,2006
1750,Ex,5,636,1880
2398,Gd,7,1379,1996
1968,Ex,8,774,2009
1536,Gd,7,1536,2002
864,TA,3,864,1914
3228,Gd,8,3200,1992
2149,Gd,7,1434,2003
2640,Gd,7,1240,1880
1682,TA,7,1304,1970
2098,Ex,8,1030,2005
864,TA,5,864,1965
1968,TA,5,784,1969
1097,TA,6,1040,1984
1196,Gd,6,684,1920
1920,Gd,5,1052,1958
1728,TA,5,1728,1965
2031,Gd,8,1128,2002
1196,TA,6,1196,1956
803,TA,5,720,1941
1620,TA,5,780,1969
2097,Ex,8,2077,2005
1869,Ex,9,1869,2007
1886,Gd,7,930,1998
480,TA,2,480,1949
1296,TA,4,0,1967
816,TA,4,816,1938
1601,TA,7,1271,1978
1792,TA,6,936,2000
2520,Gd,8,1338,1993
1144,TA,5,1144,1959
2601,TA,5,612,1921
1577,Fa,6,972,1939
970,TA,5,970,1963
2036,TA,7,2136,1965
1026,Gd,6,1026,1969
698,TA,5,698,1947
1533,Gd,7,1533,1975
1382,TA,5,720,1941
1391,Gd,7,1391,2004
1078,Gd,5,1078,1950
1296,Gd,8,1267,2001
1442,TA,6,1442,1958
1964,TA,5,940,1911
1502,Gd,7,1502,2009
1392,TA,6,1392,1957
1768,TA,4,1768,1968
1582,TA,5,1624,1964
958,TA,6,958,1960
894,TA,5,894,1972
1224,TA,6,1224,1999
2332,Ex,10,1682,2007
1269,Gd,8,1256,2004
1776,Gd,8,1732,2006
1456,Gd,6,728,2005
1194,TA,6,655,1959
1008,Gd,5,1008,1953
1555,Gd,7,1373,2005
1784,TA,5,747,1914
1108,Gd,7,637,1930
1394,Gd,5,384,2006
1714,TA,7,980,1988
882,TA,5,0,1959
1306,Fa,3,728,1940
1217,TA,6,626,1980
990,TA,5,990,1994
2452,Gd,8,1117,2004
848,Gd,6,848,2003
1369,TA,6,672,1925
1218,Gd,6,1218,2009
2555,TA,6,588,1922
1247,Gd,8,1247,2005
2872,TA,6,1330,1977
1652,Gd,8,1600,2008
1844,TA,6,1844,1977
1971,Gd,7,1113,2005
1800,TA,6,982,2000
1949,Gd,7,1050,1993
630,TA,4,630,1972
1494,Gd,7,1494,2002
968,TA,3,600,1910
1274,Gd,7,1274,2005
1520,TA,6,1156,1955
1285,TA,6,660,1977
1509,Gd,7,783,2003
1935,TA,7,793,1976
816,TA,6,816,1990
1200,Gd,7,1176,2003
1470,TA,4,941,1954
1656,TA,6,1080,1960
792,Gd,5,768,1924
1694,Gd,8,1694,2007
1800,Gd,8,1800,2002
2337,TA,5,662,1900
1846,TA,6,1040,1949
1026,TA,6,940,1978
904,TA,5,876,1966
1126,TA,5,1126,1977
2468,Gd,8,1136,2004
988,TA,6,938,1969
1052,TA,5,1052,1968
1096,TA,6,572,1924
1141,TA,6,1141,2005
1790,TA,6,732,1972
1852,Gd,8,1004,1999
754,TA,6,520,1935
1344,TA,5,624,1916
2207,TA,7,1947,1970
2358,TA,6,907,1908
2715,Gd,8,1142,1976
1364,Gd,7,1364,2005
1253,TA,7,1237,1995
1328,TA,6,1328,1963
1422,TA,5,978,1960
1986,TA,7,768,1965
952,Fa,6,952,1916
1660,Gd,8,1660,2006
2234,Ex,9,2216,2008
790,TA,6,768,1930
1340,Gd,7,1340,2007
1610,Gd,6,1610,1977
2620,TA,5,1361,1977
1248,Gd,7,1248,2005
912,Gd,6,912,1961
1638,TA,6,943,1998
1622,TA,4,1249,1961
2320,Gd,6,1028,1945
1144,TA,5,1144,1961
1520,TA,5,793,1932
1516,TA,6,1516,1964
1498,Gd,7,1498,2006
1961,Gd,6,804,2001
1456,Gd,7,728,2006
2403,TA,7,1032,1940
1944,Ex,9,1896,2003
1368,Gd,7,1368,2005
1790,Gd,7,873,1999
2713,Ex,9,1452,2008
1271,TA,5,720,1948
1872,TA,7,1845,1988
2090,Gd,7,1190,1984
1796,TA,6,794,1998
1302,Gd,7,1302,2007
2524,Gd,8,2524,1981
1374,TA,4,840,1920
1626,Gd,7,764,2003
1034,TA,5,735,1940
1518,Ex,8,1518,2003
1818,TA,7,1040,1931
1661,Gd,7,1649,1998
1991,TA,6,854,1932
1482,TA,7,650,1920
1742,Gd,8,1742,1985
1250,Fa,5,686,1918
1176,TA,6,816,1934
1915,Gd,8,908,1992
1595,TA,6,940,1940
1661,Gd,6,992,1955
1935,TA,8,832,2009
1795,Gd,8,1777,2002
1928,Gd,7,847,2003
1159,TA,5,1051,1968
1456,TA,6,855,1978
1954,Gd,7,798,1939
2028,Gd,8,1868,2005
2898,Gd,8,1565,1976
1674,Gd,7,814,2000
974,TA,5,974,1991
1989,Gd,8,1065,2002
2097,Gd,7,1080,1993
1442,TA,7,1424,1990
1130,TA,5,1120,1920
1820,TA,7,1026,1925
2119,TA,6,689,1972
2576,Ex,8,1234,2006
1020,TA,5,780,1875
1774,TA,4,1095,1900
904,Fa,1,683,1922
1382,Gd,7,673,2000
3608,Ex,10,1107,1892
2210,Fa,6,1008,1880
1572,TA,6,806,1995
1824,Gd,7,1643,1971
1056,TA,5,1056,1968
1221,TA,5,784,1924
1362,TA,6,1362,1961
848,Gd,6,848,2004
1434,Gd,7,1454,2001
1208,Gd,7,1208,2007
1466,Gd,5,796,1936
1987,Gd,8,1986,1994
2418,Gd,7,1311,1993
1314,Gd,7,1314,2007
1709,Gd,7,970,2004
1218,TA,6,672,1971
3395,Fa,6,1440,1914
1200,TA,5,1200,1987
912,TA,5,912,1958
4316,Ex,10,2444,1994
1710,Gd,7,856,2003
2374,Ex,8,1181,2003
1564,Fa,7,704,1941
1466,Fa,5,1466,1959
1383,TA,6,1383,1960
1535,TA,5,0,1979
990,TA,5,990,1995
1646,TA,7,918,1941
1928,Fa,6,1020,1910
1725,TA,7,539,1979
2872,Gd,8,1683,1992
2112,TA,6,952,1969
1324,TA,4,672,1936
1200,Gd,7,600,2005
1344,TA,5,672,1920
1668,Gd,7,840,2003
1040,TA,3,0,1950
900,Gd,5,900,1951
1559,TA,5,1559,1948
948,TA,4,864,1954
923,TA,6,923,1980
1552,Gd,7,1552,2005
1717,Gd,7,756,1915
1721,TA,5,1461,1968
987,TA,6,483,1973
1200,Gd,6,1200,1995
1716,TA,5,768,1949
894,TA,5,894,1965
1771,TA,5,0,1960
1173,Gd,7,1053,1974
1287,Gd,5,1063,1959
1382,TA,4,1051,1963
2520,Gd,7,1203,1995
1215,TA,6,1215,1958
2526,Gd,8,1165,1994
1200,Gd,7,600,2004
1728,TA,5,1728,1976
1710,TA,7,576,1921
2392,Gd,8,1396,1997
1744,Gd,7,996,1993
1665,Gd,7,813,2007
2696,Ex,7,1264,2007
864,TA,4,864,1971
672,TA,4,672,1941
1320,TA,5,1164,1966
958,TA,6,1078,1976
1710,Gd,7,1710,2004
1265,Gd,5,1219,1965
1456,Gd,8,1273,2003
1539,TA,5,927,1936
1959,TA,7,1907,1988
1522,TA,5,1008,1926
1124,TA,5,0,1954
2090,TA,7,1107,1973
1214,TA,5,1214,1965
1779,TA,5,1763,1955
1629,Gd,8,1616,2002
1554,Gd,8,1554,2006
2236,Gd,7,964,1997
796,TA,4,796,1922
1680,TA,6,840,1915
848,Gd,6,848,2003
1142,TA,5,1142,1976
1252,TA,6,1602,1960
1684,Ex,9,1684,2005
2000,Gd,8,2000,2004
1616,Gd,7,1616,2005
1872,Ex,8,1299,2001
1576,TA,5,1042,1928
1982,Gd,7,807,1989
988,TA,5,876,1950
1844,Gd,8,1844,2005
1258,Gd,6,1258,1971
1288,Ex,8,1260,1996
1634,Gd,8,1626,2006
1322,TA,6,855,1974
1414,Gd,8,707,2004
1504,Gd,7,1504,1996
1670,Gd,7,1670,2006
2167,Gd,7,1192,1974
1069,TA,6,1069,1977
1072,TA,6,547,2005
1572,TA,5,1572,1963
1869,TA,5,1088,1890
882,TA,4,882,1956
1922,Gd,9,1922,2005
780,TA,5,780,1972
1601,TA,5,533,1958
1530,Gd,7,1530,2005
833,TA,5,833,1985
1183,TA,3,649,1948
1040,TA,5,1040,1962
2828,Gd,8,1466,2006
1252,TA,6,1032,1950
1246,Gd,5,1246,1959
904,TA,6,884,1926
1652,TA,5,686,1915
1268,TA,5,832,1949
1913,TA,6,896,1928
1358,Gd,7,1358,2009
1657,TA,6,1657,1970
838,Fa,6,816,1918
2060,Gd,7,992,1999
1626,Gd,7,764,2003
1352,TA,6,663,1969
1376,TA,5,768,1941
1660,TA,6,715,1934
1412,Gd,6,616,2006
1469,TA,6,756,1906
1430,TA,7,384,2000
1094,TA,6,1094,1953
1826,Gd,8,1814,2005
924,TA,5,672,1949
1502,Gd,8,1488,1985
1688,Gd,6,616,1997
1262,Gd,6,1262,2006
1905,Ex,9,1905,2006
2031,Gd,7,1153,1998
1350,TA,6,1064,1974
1829,Gd,7,941,2003
965,TA,5,828,1965
924,Fa,4,672,1941
2263,Gd,8,1055,2001
2108,Gd,6,1127,1935
1242,TA,7,1242,1973
1573,Gd,4,884,1935
2035,Gd,7,884,2001
1232,TA,6,1232,1984
1964,TA,7,803,1976
1140,TA,4,576,1910
894,Gd,5,894,1967
2654,Gd,6,1054,1968
768,TA,5,768,1972
912,TA,4,0,1947
2080,Fa,5,1040,1969
1040,Gd,5,1040,1996
1616,Gd,6,1149,1926
1047,TA,4,641,1885
1803,TA,5,1134,1957
832,Gd,6,832,1954
894,TA,5,894,1966
1192,TA,5,596,1920
1850,Gd,9,1833,2004
899,Gd,5,864,1967
892,TA,5,864,1966
2291,TA,6,1214,1910
2138,TA,5,849,1898
1604,TA,6,926,1997
2021,Gd,7,868,2006
938,TA,5,938,1975
1426,Gd,7,912,1918
1920,TA,5,928,1948
1098,TA,5,1098,1955
729,TA,3,270,1935
1252,Gd,6,1252,1959
1584,TA,5,1584,1967
1506,Ex,9,1498,2008
1709,Gd,9,1698,1999
1092,TA,5,1092,1957
1746,Ex,9,1746,2006
2287,TA,7,1304,1953
789,TA,5,768,1926
1041,TA,5,1041,1959
1908,Gd,8,967,2002
2267,Gd,6,1010,2002
875,TA,5,715,1931
1526,TA,5,1216,1957
1567,Gd,6,1567,1977
2822,Ex,9,1734,2008
1378,Gd,7,689,1928
1738,TA,4,715,1920
2060,TA,6,1151,1988
1128,TA,5,936,1954
1720,Gd,7,840,2004
1050,TA,5,1050,1956
1114,Gd,6,1114,2003
1053,Ex,5,1008,1958
1593,Ex,8,1593,2001
1214,TA,5,1214,1967
816,Gd,5,816,1982
1535,TA,5,0,1979
3112,Gd,8,1360,1918
1919,Gd,8,1079,2006
1097,TA,5,1097,1994
1750,TA,6,983,1940
987,TA,6,483,1972
981,TA,6,981,1971
1700,Gd,5,1398,1959
816,TA,5,816,1957
1840,Gd,7,944,2001
2521,TA,6,942,1973
1002,TA,5,1002,1970
841,TA,4,721,1950
996,Gd,6,936,1992
1713,Ex,8,1713,2004
1412,Gd,6,1392,1988
1236,TA,6,912,1957
1040,TA,4,1064,1963
1616,Gd,8,1595,1995
1414,TA,6,1184,1958
1950,Gd,7,975,1997
1086,TA,5,1086,1954
1576,Gd,5,1324,1923
768,TA,5,768,1970
1381,Gd,6,1161,1972
2169,Gd,8,1284,2002
720,TA,3,0,1949
2792,TA,6,1510,1920
936,TA,4,936,1953
1181,TA,4,1138,1972
1689,Gd,7,1689,2007
948,TA,4,948,1954
1512,Gd,6,756,2000
894,TA,5,894,1968
1852,Gd,7,900,2009
845,TA,4,0,1957
774,Gd,3,544,1931
3238,Gd,8,2033,1995
1232,Gd,7,1232,2007
1164,TA,7,1164,1969
1248,TA,5,912,1930
1687,TA,5,747,1948
1960,Gd,6,860,2002
1092,TA,4,546,1970
894,TA,4,894,1954
1479,Gd,7,1453,2003
1060,Gd,5,1060,1968
1436,Gd,7,1436,2004
1044,Fa,5,540,1952
1768,TA,7,880,1914
816,TA,6,816,1930
1430,TA,7,384,2000
1867,TA,5,1617,1955
1500,Gd,7,1356,2006
1100,TA,4,1100,1960
816,TA,5,816,1982
1328,TA,5,1350,1959
2296,Ex,10,1722,2008
864,TA,5,864,1955
1266,Gd,7,1257,2005
858,TA,4,858,1971
1710,Gd,6,832,1993
1123,TA,4,732,1939
1647,TA,6,953,1999
874,TA,5,864,1968
1788,Ex,8,1753,2001
1839,Gd,6,1477,1957
1868,Gd,5,780,1976
1712,TA,5,1626,1959
1229,TA,6,561,1980
1600,Gd,8,1566,2007
1600,TA,6,916,1997
1344,TA,5,896,1936
1126,Ex,5,1126,1977
923,TA,5,876,1984
616,TA,5,616,1921
1800,TA,5,1800,1961
